,Both sexes,Males,Females
0,88459,15829,72630
1,161363,96876,64487
2,109152,59020,50132
3,28235,19652,8583
4,155439,77010,78429
5,148064,76877,71187
6,59782,2274,57508
7,114878,42463,72415
8,106515,25570,80945
9,106642,40902,65740
10,106266,13381,92885
11,96669,76745,19924
12,137953,85923,52030
13,102810,42959,59851
14,110535,24561,85974
15,168230,76663,91567
16,126343,37905,88438
17,92653,42535,50118
18,149091,59908,89183
19,89148,26115,63033
20,149834,82327,67507
21,47668,41404,6264
22,120157,60799,59358
23,118933,55501,63432
24,79356,45288,34068
25,152985,90815,62170
26,43581,2336,41245
27,147396,81852,65544
28,158372,96578,61794
29,115218,94309,20909
30,134006,53411,80595
31,152176,75901,76275
32,82681,60117,22564
33,72773,29839,42934
34,109280,45299,63981
35,143291,54680,88611
36,44836,30240,14596
37,115303,58496,56807
38,159577,62362,97215
39,68348,51559,16789
40,31335,9367,21968
41,51390,16594,34796
42,90441,36308,54133
43,110273,11363,98910
44,163444,90801,72643
45,165532,86808,78724
46,95982,90105,5877
47,44080,38485,5595
48,112834,67166,45668
49,96322,50052,46270
50,95306,84495,10811
51,112980,94011,18969
52,69809,29292,40517
53,35924,19381,16543
54,122595,66470,56125
55,101811,3079,98732
56,37088,15843,21245
57,126032,37064,88968
58,39839,6917,32922
59,138145,62979,75166
60,91944,63815,28129
61,101986,99546,2440
62,143635,90528,53107
63,26082,14228,11854
64,139763,81957,57806
65,56028,33218,22810
66,130551,32638,97913
67,110638,63072,47566
68,110036,15443,94593
69,22516,21450,1066
70,153780,65904,87876
71,87676,44095,43581
72,89843,43993,45850
73,72436,16659,55777
74,89159,67536,21623
75,75998,56252,19746
76,37445,21000,16445
77,162792,77882,84910
78,159368,66983,92385
79,97946,30869,67077
80,94803,68122,26681
81,50886,47540,3346
82,99866,88523,11343
83,100219,49186,51033
84,92282,23518,68764
85,161996,91097,70899
86,112237,90324,21913
87,120162,80488,39674
88,48194,30536,17658
89,87897,41242,46655
90,104034,25379,78655
91,69873,44928,24945
92,55516,40960,14556
93,159476,97250,62226
94,154628,85843,68785
95,118811,85787,33024
96,155021,62256,92765
97,68416,53019,15397
98,36633,23919,12714
99,139359,54301,85058
100,174804,87206,87598
101,76732,18709,58023
102,125803,29935,95868
103,121068,45383,75685
104,47262,17988,29274
105,91203,62517,28686
