,Both sexes,Males,Females
0,165708,71439,94269
1,140890,46759,94131
2,138241,38966,99275
3,42478,16253,26225
4,152020,52356,99664
5,89884,69241,20643
6,45506,498,45008
7,58317,38281,20036
8,174881,97034,77847
9,40797,35829,4968
10,158032,63796,94236
11,28941,2117,26824
12,35318,27636,7682
13,129390,99304,30086
14,121267,47490,73777
15,47516,34922,12594
16,136697,69120,67577
17,83133,72890,10243
18,131395,33820,97575
19,54894,10527,44367
20,99438,93299,6139
21,109486,58480,51006
22,109093,97438,11655
23,182199,85034,97165
24,170615,71715,98900
25,143784,64683,79101
26,63871,1204,62667
27,95634,63859,31775
28,86125,72723,13402
29,8883,7800,1083
30,104955,37615,67340
31,74278,4708,69570
32,73908,38421,35487
33,115478,85378,30100
34,121675,25773,95902
35,44832,7662,37170
36,142728,50126,92602
37,174170,89161,85009
38,126741,86321,40420
39,87508,12760,74748
40,13566,5011,8555
41,111329,84072,27257
42,112241,85240,27001
43,65383,31466,33917
44,108860,67819,41041
45,139092,84843,54249
46,41732,112,41620
47,52560,17367,35193
48,53311,2002,51309
49,131727,92566,39161
50,84282,63087,21195
51,83758,17849,65909
52,153246,54552,98694
53,85043,19541,65502
54,110163,26167,83996
55,33084,25617,7467
56,141068,99887,41181
57,129153,80477,48676
58,100728,86143,14585
59,128476,31829,96647
60,118680,80046,38634
61,98908,61931,36977
62,146009,55059,90950
63,69478,44897,24581
64,36864,34625,2239
65,116604,39344,77260
66,170745,88076,82669
67,132405,53207,79198
68,68399,40387,28012
69,95520,43794,51726
70,93760,77679,16081
71,110998,52425,58573
72,100311,88054,12257
73,47524,22594,24930
74,91030,26345,64685
75,60932,40809,20123
76,87497,29977,57520
77,49000,15067,33933
78,48756,9976,38780
79,109573,44144,65429
80,82517,72760,9757
81,72354,15064,57290
82,117941,18790,99151
83,94130,69508,24622
84,138437,54771,83666
85,33844,27391,6453
86,83286,2711,80575
87,159166,69089,90077
88,73709,36303,37406
89,72857,45294,27563
90,106646,66375,40271
91,45734,28320,17414
92,148318,77803,70515
93,148260,89204,59056
94,106740,57943,48797
95,93148,55525,37623
96,139048,52838,86210
97,114590,35136,79454
98,65906,39779,26127
99,105826,22597,83229
100,40512,25722,14790
101,38519,27175,11344
102,119450,27851,91599
103,74743,107,74636
104,116544,63550,52994
105,183506,86136,97370
