Postal Code,Place Name,State,Latitude,Longitude
101000,??????,??????,55.7522,37.6156
101194,?????? 194,??????,55.7522,37.6156
101300,?????? 300,??????,55.7522,37.6156
101700,???? ?. ??????,??????,55.7522,37.6156
101701,??????-???,??????,55.7522,37.6156
101702,??????-???,??????,55.7522,37.6156
101703,??????-???,??????,55.7522,37.6156
101704,??????-???,??????,55.7522,37.6156
101731,??????-???,??????,55.7522,37.6156
101732,??????-???,??????,55.7522,37.6156
101733,??????-???,??????,55.7522,37.6156
101734,??????-???,??????,55.7522,37.6156
101749,??????-???,??????,55.7522,37.6156
101750,??????-???,??????,55.7522,37.6156
101751,??????-???,??????,55.7522,37.6156
101752,??????-???,??????,55.7522,37.6156
101753,??????-???,??????,55.7522,37.6156
101754,??????-???,??????,55.7522,37.6156
101755,??????-???,??????,55.7522,37.6156
101756,??????-???,??????,55.7522,37.6156
101757,??????-???,??????,55.7522,37.6156
101760,?????? ??? 10,??????,55.7522,37.6156
101761,??????-???,??????,55.7522,37.6156
101762,??????-???,??????,55.7522,37.6156
101763,??????-???,??????,55.7522,37.6156
101764,?????? ??? 14,??????,55.7522,37.6156
101765,??????-???,??????,55.7522,37.6156
101767,??????-???,??????,55.7522,37.6156
101768,??????-???,??????,55.7522,37.6156
101769,??????-???,??????,55.7522,37.6156
101770,??????-???,??????,55.7522,37.6156
101772,??????-???,??????,55.7522,37.6156
101773,??????-???,??????,55.7522,37.6156
101774,??????-???,??????,55.7522,37.6156
101775,??????-???,??????,55.7522,37.6156
101776,??????-???,??????,55.7522,37.6156
101777,??????-???,??????,55.7522,37.6156
101778,??????-???,??????,55.7522,37.6156
101779,??????-???,??????,55.7522,37.6156
101780,??????-???,??????,55.7522,37.6156
101781,??????-???,??????,55.7522,37.6156
101782,??????-???,??????,55.7522,37.6156
101783,??????-???,??????,55.7522,37.6156
101784,??????-???,??????,55.7522,37.6156
101785,??????-???,??????,55.7522,37.6156
101790,??????-??? ?????-??????,??????,55.7522,37.6156
101976,??????-??? 3 ??. ????,??????,55.7522,37.6156
101990,??????-???,??????,55.7522,37.6156
102000,??????-????????? ?????? ????,??????,55.4656,51.2614
102001,??????-????????? ?????? ????-1,??????,55.4656,51.2614
102002,??????-????????? ?????? ???? ??? 1,??????,55.4656,51.2614
102003,??????-????????? ?????? ???? ??? 1 ?? 1.1,??????,55.4656,51.2614
102004,??????-????????? ?????? ???? ??? 3,??????,55.4656,51.2614
102005,??????-????????? ?????? ???? ??? 3  ?? 3.1,??????,55.4656,51.2614
102006,??????-????????? ?????? ???? ??? 4,??????,55.4656,51.2614
102007,??????-????????? ?????? ???? ??? 5,??????,55.4656,51.2614
102008,??????-????????? ?????? ???? ??? 5 ?? 5.1,??????,55.4656,51.2614
102009,??????-????????? ?????? ???? ??? 5 ?? 5.2,??????,55.4656,51.2614
102010,??????-????????? ?????? ???? ??? 5 ?? 5.5,??????,55.4656,51.2614
