Postal Code,Place Name,County,Latitude,Longitude
00001,Anai?i? k.,Klaip?dos r. sav.,55.9175,21.0686
00009,Palanga,Palangos m. sav.,55.9175,21.0686
01001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
01013,Vilnius,Vilniaus m. sav.,54.6833,25.3167
01025,Vilnius,Vilniaus m. sav.,54.6833,25.3167
01031,Vilnius,Vilniaus m. sav.,54.6833,25.3167
01047,Vilnius,Vilniaus m. sav.,54.6833,25.3167
02007,SB „Ribišk?s“,Vilniaus m. sav.,54.6833,25.3167
02011,SB „Sodžius“,Vilniaus m. sav.,54.6833,25.3167
02017,SB „Eršk?trož?“,Vilniaus m. sav.,54.6833,25.3167
02021,Vilnius,Vilniaus m. sav.,54.6833,25.3167
02025,Vilnius,Vilniaus m. sav.,54.6833,25.3167
02029,Vilnius,Vilniaus m. sav.,54.6833,25.3167
03001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
03011,Vilnius,Vilniaus m. sav.,54.6833,25.3167
04001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
04007,Vilnius,Vilniaus m. sav.,54.6833,25.3167
04013,Vilnius,Vilniaus m. sav.,54.6833,25.3167
05001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
05009,Vilnius,Vilniaus m. sav.,54.6833,25.3167
06001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
06005,SB „Avietynas“,Vilniaus m. sav.,54.6833,25.3167
07001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
07004,Vilnius,Vilniaus m. sav.,54.6833,25.3167
08001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
08009,Vilnius,Vilniaus m. sav.,54.6833,25.3167
08013,SB „ŠEC-1“,Vilniaus m. sav.,54.6833,25.3167
08018,Vilnius,Vilniaus m. sav.,54.6833,25.3167
09001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
09008,Vilnius,Vilniaus m. sav.,54.6833,25.3167
09020,Vilnius,Vilniaus m. sav.,54.6833,25.3167
10001,SB „Tiekimas“,Vilniaus m. sav.,54.6833,25.3167
10004,Vilnius,Vilniaus m. sav.,54.6833,25.3167
10007,SB „Rasa“,Vilniaus m. sav.,54.6833,25.3167
10013,Vilnius,Vilniaus m. sav.,54.6833,25.3167
11001,SB „Vilnel?“,Vilniaus m. sav.,54.6833,25.3167
11005,Grigai?i? k.,Vilniaus m. sav.,54.6833,25.3167
11010,SB „Jurginas“,Vilniaus m. sav.,54.6833,25.3167
11013,Vilnius,Vilniaus m. sav.,54.6833,25.3167
12001,SB „Sportas“,Vilniaus m. sav.,54.6833,25.3167
13001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
13004,Mick?nai,Vilniaus r. sav.,54.7,25.5333
13007,Rokantiški? k.,Vilniaus r. sav.,54.6917,25.425
13010,Sad?niški? k.,Vilniaus r. sav.,54.6,25.7333
13013,S?dnink? k.,Vilniaus r. sav.,54.6,25.7333
13016,Kijoni? k.,Vilniaus r. sav.,54.6,25.7333
13019,Šakiški? k.,Vilniaus r. sav.,54.6,25.7333
13022,Bielazariški? k.,Vilniaus r. sav.,54.67,25.4433
13025,SB „Pamišk?“,Vilniaus r. sav.,54.67,25.4433
13028,Pr?diški? k.,Vilniaus r. sav.,54.67,25.4433
13031,Vilnius,Vilniaus m. sav.,54.6833,25.3167
13034,Vilnius,Vilniaus m. sav.,54.6833,25.3167
14001,Vilnius,Vilniaus m. sav.,54.6833,25.3167
14004,SB „Vyšnel?-2“,Vilniaus r. sav.,54.6833,25.3167
14007,Vilnius,Vilniaus m. sav.,54.6833,25.3167
14010,Vilnius,Vilniaus m. sav.,54.6833,25.3167
14013,Avižieni? k.,Vilniaus r. sav.,54.6833,25.3167
14016,Aleksandravo k.,Vilniaus r. sav.,54.6833,25.3167
14019,Moli?n? k.,Vilniaus r. sav.,54.6833,25.3167
14025,Maišiagala,Vilniaus r. sav.,54.8667,25.0667
14028,Vilnius,Vilniaus m. sav.,54.6833,25.3167
14031,Spiegli? k.,Vilniaus r. sav.,54.7139,25.275
15004,Naši?n? k.,Vilniaus r. sav.,54.825,25.5083
15013,Verbiški? k.,Vilniaus r. sav.,54.85,25.4833
15019,Nemen?in?,Vilniaus r. sav.,54.85,25.4833
15023,SB „?žuolyn?“,Vilniaus r. sav.,54.8,25.5333
15026,Išoriški? k.,Vilniaus r. sav.,54.8,25.5333
15029,Vitkiški? k.,Vilniaus r. sav.,54.8,25.5333
15032,Kuleliški? k.,Vilniaus r. sav.,54.825,25.5083
15035,Miškini? k.,Vilniaus r. sav.,54.825,25.5083
17001,Anuliški? k.,Šal?inink? r. sav.,54.3,25.3833
17005,Stak? k.,Šal?inink? r. sav.,54.25,25.5
17008,Zajašiški? k.,Šal?inink? r. sav.,54.2,25.6167
17014,Senadvario vienk.,Šal?inink? r. sav.,54.1667,25
17017,Eišišk?s,Šal?inink? r. sav.,54.1667,25
17020,Kalesnink? k.,Šal?inink? r. sav.,54.3433,25.3067
17023,Naujadvario k.,Šal?inink? r. sav.,54.3433,25.3067
17026,Kuboni? k.,Šal?inink? r. sav.,54.3433,25.3067
17029,Mištun? k.,Šal?inink? r. sav.,54.3433,25.3067
17032,Paberž?s k.,Šal?inink? r. sav.,54.525,25.2667
17035,Baltoji Vok?,Šal?inink? r. sav.,54.6,25.2
17038,Jaši?nai,Šal?inink? r. sav.,54.45,25.3333
17041,Zavišoni? k.,Šal?inink? r. sav.,54.3433,25.3067
17044,Maž?j? Kudžioni? k.,Šal?inink? r. sav.,54.3433,25.3067
17047,Bagdžiuli? k.,Šal?inink? r. sav.,54.3433,25.3067
18001,Šven?ionys,Šven?ioni? r. sav.,55.15,26.1667
18005,Simanišk?s k.,Šven?ioni? r. sav.,55.15,26.1667
18008,R?dabes?io k.,Šven?ioni? r. sav.,55.15,26.1667
18011,Tadarinos k.,Šven?ioni? r. sav.,55,25.7833
18014,Balinavo vienk.,Šven?ioni? r. sav.,55,25.7833
18017,Piork? k.,Šven?ioni? r. sav.,55,25.7833
18022,Laimišk?s k.,Šven?ioni? r. sav.,55.1667,26
18025,Vilkasal?s k.,Šven?ioni? r. sav.,55.2667,25.7667
18028,Linkiški? k.,Šven?ioni? r. sav.,55.2667,26
18033,Maci?n? k.,Šven?ioni? r. sav.,55.15,26.6
18036,Rakausk? k.,Šven?ioni? r. sav.,55.15,26.6
18039,Adutiškis,Šven?ioni? r. sav.,55.15,26.6
18042,Rusališk?s k.,Šven?ioni? r. sav.,55.1667,26.0528
18043,Pašerin?s k.,Šven?ioni? r. sav.,55.1667,26.0528
19001,Spadviliški? k.,Širvint? r. sav.,55.075,24.9667
19005,Arliški? k.,Širvint? r. sav.,55.0167,25.1
19008,Medžiuk? k.,Širvint? r. sav.,55.0556,25.0111
19011,Papiernios k.,Širvint? r. sav.,54.9167,24.85
19014,Kernav?,Širvint? r. sav.,54.8833,24.85
19017,Musninkai,Širvint? r. sav.,54.95,24.85
19020,Pamusi? k.,Širvint? r. sav.,55.075,24.7333
19023,Gelvonai,Širvint? r. sav.,55.0667,24.7
19026,Bagaslaviškis,Širvint? r. sav.,55.0833,24.7667
19029,Degsni? k.,Širvint? r. sav.,55.075,24.7333
19032,Laužiški? vienk.,Širvint? r. sav.,55.0667,25.1
20001,Šaukavos k.,Ukmerg?s r. sav.,55.25,24.75
20006,Ukmerg?,Ukmerg?s r. sav.,55.25,24.75
20009,Ukmerg?,Ukmerg?s r. sav.,55.25,24.75
20012,Ukmerg?,Ukmerg?s r. sav.,55.25,24.75
